State,District,ConstituencyEN,ElectionType,CandidateName,Party,BallotVotes,Election,AdvanceBallotVotes,Gender,ConstituencyMM
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,ဦးမောင်ဦး,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,36637,2015,2928,m,တပ်ကုန်း
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,ဦးမြင့်ရွှေ,တစ်သီးပုဂ္ဂလ,18145,2015,1737,m,တပ်ကုန်း
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,ဦးကျော်တင့်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,45591,2015,1833,m,တပ်ကုန်း
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,_invalid,,,,,,
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,_noshow,,,,,,
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးစိုင်းမြင့်ကျော်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,7154,2015,515,m,ဖားကန့်
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးလနူး,ကချင်ပြည်နယ်ဒီမိုကရေစီပါတီ,5136,2015,70,m,ဖားကန့်
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးတင့်စိုး,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,30014,2015,336,m,ဖားကန့်
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးဇော်တန်,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,2516,2015,32,m,ဖားကန့်
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးစိမ်းညွန့်သောင်း,တိုင်းလိုင်(ရှမ်းနီ)အမျိုးသားများဖွံ့ဖြိုးတိုးတက်ရေးပါတီ(T.N.D.P),3052,2015,50,m,ဖားကန့်
Kachin State,Mohnyin,Hpakant,Pyithu,ဦးလဖိုင်ဇော်ထွယ်,ကချင်အမျိုးသားများဒီမိုကရေစီကွန်ဂရက်ပါတီ,3856,2015,51,m,ဖားကန့်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးဒစ်ဆင်ထွန်းလင်း,ကရင်ပြည်သူ့ပါတီ,1589,2015,120,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဒေါ်နီနီမြင့်,ဖက်ဒရယ်ပြည်ထောင်စုပါတီ,514,2015,19,f,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးလှထွန်း,တစ်သီးပုဂ္ဂလ,345,2015,16,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးထွန်းဝေ,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,21745,2015,2988,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးမောင်မောင်ဦး,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,95466,2015,4236,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးနိုင်ဝင်းဇော်,တစ်သီးပုဂ္ဂလ,1504,2015,29,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးဝင်းနေလှ,အမျိုးသားတိုးတက်ရေးပါတီ,1055,2015,48,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးသက်ထွန်းဇော်,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,1262,2015,89,m,အင်းစိန်
Yangon Region,Yangon (North),Insein,Pyithu,ဦးနိုင်ထွန်းကျော်,ညီညွတ်သောဒီမိုကရက်တစ်ပါတီ(UDP),228,2015,5,m,အင်းစိန်
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဦးစောတင်ဝင်း,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,10943,2015,608,m,ကြာအင်းဆိပ်ကြီး
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဦးစောညွန့်သောင်း,ဖလုံ-စဝေါ်ဒီမိုကရက်တစ်ပါတီ,1920,2015,187,m,ကြာအင်းဆိပ်ကြီး
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဒေါ်ရဲမြစန်း,အမျိုးသားတိုးတက်ရေးပါတီ,445,2015,40,f,ကြာအင်းဆိပ်ကြီး
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဦးခင်မောင်ကျော်,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,565,2015,59,m,ကြာအင်းဆိပ်ကြီး
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဦးထွေးရှိန်,မွန်အမျိုးသားပါတီ,2772,2015,123,m,ကြာအင်းဆိပ်ကြီး
Kayin State,Kawkareik,Kyainseikgyi,Pyithu,ဦးစောထွဋ်ခေါင်လွင်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,7115,2015,1788,m,ကြာအင်းဆိပ်ကြီး
Sagaing Region,Yinmabin,Kani,Pyithu,ဦးဉာဏ်ထွန်း,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,13891,2015,1941,m,ကနီ
Sagaing Region,Yinmabin,Kani,Pyithu,ဦးထွန်းထွန်းနိုင်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,54108,2015,3592,m,ကနီ
Tanintharyi Region,Myeik,Palaw,Pyithu,ဦးစံခင်,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,811,2015,83,m,ပုလော
Tanintharyi Region,Myeik,Palaw,Pyithu,ဦးလှမြင့်(ခ)ဦးမောင်လှ,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,11581,2015,2362,m,ပုလော
Tanintharyi Region,Myeik,Palaw,Pyithu,ဦးအုန်းခင်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,35718,2015,2023,m,ပုလော
Tanintharyi Region,Myeik,Palaw,Pyithu,ဦးတင်ထွန်းအောင်,အမျိုးသားတိုးတက်ရေးပါတီ,1244,2015,106,m,ပုလော
Shan State (South),Paoh SAZ,Hopong,Pyithu,ဒေါ်သန်းသန်းရွှေ,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,857,2015,184,f,ဟိုပုံး
Shan State (South),Paoh SAZ,Hopong,Pyithu,ဦးစိုင်းမြင့်ဆွေ,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,4941,2015,575,m,ဟိုပုံး
Shan State (South),Paoh SAZ,Hopong,Pyithu,ဦးဇော်ထွန်း(ခ)ခွန်ဇော်,ပြည်ထောင်စုပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(ပ.အ.မ.ဖ)ပါတီ,617,2015,56,m,ဟိုပုံး
Shan State (South),Paoh SAZ,Hopong,Pyithu,ဦးစိုင်းသီဟ,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5708,2015,776,m,ဟိုပုံး
Shan State (South),Paoh SAZ,Hopong,Pyithu,ဦးခွန်အောင်ကျော်,ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(PNO)ပါတီ,31412,2015,4334,m,ဟိုပုံး
Shan State (North),Muse,Kutkai,Pyithu,ဦးတီခွန်မြတ်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,22316,2015,2935,m,ကွတ်ခိုင်
Shan State (North),Muse,Kutkai,Pyithu,ဒေါ်ဂျဲနက်နန်ပရီ,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,8977,2015,684,f,ကွတ်ခိုင်
Shan State (North),Muse,Kutkai,Pyithu,ဦးစိုင်းထွန်းလင်း,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,2295,2015,129,m,ကွတ်ခိုင်
Shan State (North),Muse,Kutkai,Pyithu,ဦးအောင်ဆာ,တအာင်း(ပလောင်)အမျိုးသားပါတီ,15676,2015,499,m,ကွတ်ခိုင်
Shan State (North),Muse,Kutkai,Pyithu,ဒေါ်နန်းကိန်ခမ်း,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,2408,2015,99,f,ကွတ်ခိုင်
Shan State (North),Kyaukme,Hsipaw,Pyithu,ဦးစိုင်းစံတင့်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,7090,2015,1820,m,သီပေါ
Shan State (North),Kyaukme,Hsipaw,Pyithu,ဦးတင်ဇော်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,8690,2015,415,m,သီပေါ
Shan State (North),Kyaukme,Hsipaw,Pyithu,ဦးရဲထွန်း(ခ)ဦးမင်းထွန်း(ခ)ဦးဌေးအောင်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,4951,2015,91,m,သီပေါ
Shan State (North),Kyaukme,Hsipaw,Pyithu,ဦးစိုင်းသန့်ဇင်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,46971,2015,134,m,သီပေါ
Shan State (North),Kyaukme,Hsipaw,Pyithu,ဦးစိုင်းယွမ့်မှိုင်းအူ,တစ်သီးပုဂ္ဂလ,1700,2015,31,m,သီပေါ
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးစိုးဌေး,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,20132,2015,1596,m,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးမင်းပန်းအေး,မွန်ဒေသလုံးဆိုင်ရာဒီမိုကရေစီပါတီ,3220,2015,276,m,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဒေါ်နန်းခင်သိန်း(ခ)ဒေါ်ခင်သိန်း,အမျိုးသားတိုးတက်ရေးပါတီ,2432,2015,1268,f,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးသူရိန်ဇော်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,14833,2015,2495,m,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးစောချစ်မောင်,ဖလုံ-စဝေါ်ဒီမိုကရက်တစ်ပါတီ,7150,2015,577,m,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးရာမိုး(အံဘွား-ရာမည),မွန်အမျိုးသားပါတီ,5656,2015,414,m,ကော့ကရိတ်
Kayin State,Kawkareik,Kawkareik,Pyithu,ဦးဌေးလှိုင်သိန်း,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,1052,2015,101,m,ကော့ကရိတ်
Yangon Region,Yangon (West),Ahlone,Pyithu,ဦးအောင်ဆန်းကျော်(ခ)ဦးဘီလီဘိုးကျော်,ကရင်ပြည်သူ့ပါတီ,104,2015,9,m,အလုံ
Yangon Region,Yangon (West),Ahlone,Pyithu,ဦးခင်မောင်သန်း,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,1800,2015,255,m,အလုံ
Yangon Region,Yangon (West),Ahlone,Pyithu,ဦးအုန်းမြင့်,တစ်သီးပုဂ္ဂလ,131,2015,17,m,အလုံ
Yangon Region,Yangon (West),Ahlone,Pyithu,ဦးခင်မောင်ရည်(ခ)ခိုင်မောင်ရည်,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,1439,2015,125,m,အလုံ
Yangon Region,Yangon (West),Ahlone,Pyithu,ဦးရဲလွင်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,18211,2015,1015,m,အလုံ
Yangon Region,Yangon (West),Ahlone,Pyithu,ဒေါ်ခိုင်ခိုင်ဆု,အမျိုးသားတိုးတက်ရေးပါတီ,192,2015,11,f,အလုံ
Ayeyarwady Region,Myaungmya,Myaungmya,Pyithu,ဦးစောစန်းဒို,ကရင်ပြည်သူ့ပါတီ,5936,2015,305,m,မြောင်းမြ
Ayeyarwady Region,Myaungmya,Myaungmya,Pyithu,ဦးတင့်ဆန်း,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,58839,2015,4946,m,မြောင်းမြ
Ayeyarwady Region,Myaungmya,Myaungmya,Pyithu,ဦးအောင်မျိုးလှိုင်,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,991,2015,106,m,မြောင်းမြ
Ayeyarwady Region,Myaungmya,Myaungmya,Pyithu,ဦးရဲအောင်,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,1648,2015,89,m,မြောင်းမြ
Ayeyarwady Region,Myaungmya,Myaungmya,Pyithu,ဒေါက်တာစိုးမိုးသူ,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,77112,2015,4035,f,မြောင်းမြ
Shan State (North),Kyaukme,Kyaukme,Pyithu,ဦးနယ်(လ်)ဆင်(ခ)ဆောင်ဆီ,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,3935,2015,313,m,ကျောက်မဲ
Shan State (North),Kyaukme,Kyaukme,Pyithu,ဦးစိုင်းထွန်းအောင်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,36927,2015,1131,m,ကျောက်မဲ
Shan State (North),Kyaukme,Kyaukme,Pyithu,ဦးစိုင်းဆာနု(ခ)ဦးသာနု,တအာင်း(ပလောင်)အမျိုးသားပါတီ,8424,2015,328,m,ကျောက်မဲ
Shan State (North),Kyaukme,Kyaukme,Pyithu,ဦးတင်မောင်သိန်း,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,12491,2015,914,m,ကျောက်မဲ
Shan State (North),Kyaukme,Kyaukme,Pyithu,ဦးစိုင်းစိန်လင်း,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,8090,2015,1387,m,ကျောက်မဲ
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဦးသိန်းဟန်,အမျိုးသားတိုးတက်ရေးပါတီ,1661,2015,67,m,သန်လျှင်
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဦးလွင်ဦး,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,32716,2015,4016,m,သန်လျှင်
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဦးဆန်းညွန့်,ညီညွတ်သောဒီမိုကရက်တစ်ပါတီ(UDP),566,2015,17,m,သန်လျှင်
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဦးကျော်စွာငြိမ်း,၈၈မျိုးဆက်ကျောင်းသားလူငယ်များ(ပြည်ထောင်စုမြန်မာနိုင်ငံ)ပါတီ,5812,2015,125,m,သန်လျှင်
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဦးလွင်ကိုလတ်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,67852,2015,2528,m,သန်လျှင်
Yangon Region,Yangon (South),Thanlyin,Pyithu,ဒေါက်တာတင့်လင်းထွန်း,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,1601,2015,66,f,သန်လျှင်
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးထွန်းအောင်(ခ)ဦးထွန်းထွန်းဟိန်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,20364,2015,836,m,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးကျော်မြင့်,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,7929,2015,414,m,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးခင်မောင်ချို,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,15335,2015,1215,m,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးစိုင်းထင်ကျော်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5822,2015,91,m,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးအောင်နိုင်ထွန်း,ဓနုတိုင်းရင်းသားလူမျိုးများဒီမိုကရေစီပါတီ,7061,2015,213,m,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဒေါ်မြနှင်းဆီ,မတူကွဲပြားခြင်းနှင့်ငြိမ်းချမ်းရေးပါတီ,413,2015,17,f,နောင်ချို
Shan State (North),Kyaukme,Nawnghkio,Pyithu,ဦးစိုင်းဖူးအောင်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,4679,2015,65,m,နောင်ချို
Magway Region,Pakokku,Pakokku,Pyithu,ဦးရဲညွန့်,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,573,2015,23,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးပိုက်ကို,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,115333,2015,4887,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးမျိုးဆွေ,၈၈မျိုးဆက်ကျောင်းသားလူငယ်များ(ပြည်ထောင်စုမြန်မာနိုင်ငံ)ပါတီ,2682,2015,102,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးခင်မောင်ဆွေ,တစ်သီးပုဂ္ဂလ,750,2015,35,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးသော်ဇင်ဦး,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,29417,2015,2916,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးမျိုးမင်းထွဋ်,တစ်သီးပုဂ္ဂလ,768,2015,50,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဒေါ်လဲ့လဲ့ဌေး,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,1442,2015,90,f,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးမင်းသူရ,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,556,2015,24,m,ပခုက္ကူ
Magway Region,Pakokku,Pakokku,Pyithu,ဦးဇေယျထူး,အမျိုးသားတိုးတက်ရေးပါတီ,1473,2015,41,m,ပခုက္ကူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးဘရှိန်,ရခိုင်အမျိုးသားပါတီ,26177,2015,961,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးမောင်ဘစော,တစ်သီးပုဂ္ဂလ,1019,2015,10,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးအေးစံ,တစ်သီးပုဂ္ဂလ,1172,2015,25,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးလှစောထွန်း,ရခိုင်ပြည်နယ်အမျိုးသားအင်အားစုပါတီ,4053,2015,157,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးသိန်းဟန်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,7605,2015,321,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဒေါ်အေးခင်,တစ်သီးပုဂ္ဂလ,370,2015,10,f,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးသိန်းဇော်,တစ်သီးပုဂ္ဂလ,3708,2015,158,m,ကျောက်ဖြူ
Rakhine State,Kyaukpyu,Kyaukpyu,Pyithu,ဦးနန်းအောင်ထွန်း,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,12259,2015,1801,m,ကျောက်ဖြူ
Shan State (South),Paoh SAZ,Pinlaung,Pyithu,ဦးအုန်းခိုင်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,12163,2015,529,m,ပင်လောင်း
Shan State (South),Paoh SAZ,Pinlaung,Pyithu,ဦးခွန်မောင်သောင်း,ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(PNO)ပါတီ,66198,2015,3052,m,ပင်လောင်း
Shan State (South),Paoh SAZ,Pinlaung,Pyithu,ဦးခွန်ကျော်ဆွေ,ပြည်ထောင်စုပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(ပ.အ.မ.ဖ)ပါတီ,3748,2015,143,m,ပင်လောင်း
Shan State (South),Paoh SAZ,Pinlaung,Pyithu,ဦးစိုင်းမောဝ်းလျှန်း,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,1129,2015,56,m,ပင်လောင်း
Shan State (South),Paoh SAZ,Pinlaung,Pyithu,ဦးစိုင်းကျော်ဟိန်း,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,7460,2015,427,m,ပင်လောင်း
Magway Region,Gangaw,Gangaw,Pyithu,ဦးစိုးမြင့်သန်း,တစ်သီးပုဂ္ဂလ,489,2015,47,m,ဂန့်ဂေါ
Magway Region,Gangaw,Gangaw,Pyithu,ဦးအောင်မြင့်,တစ်သီးပုဂ္ဂလ,734,2015,85,m,ဂန့်ဂေါ
Magway Region,Gangaw,Gangaw,Pyithu,ဦးဝင်းမြင့်မောင်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,15110,2015,1628,m,ဂန့်ဂေါ
Magway Region,Gangaw,Gangaw,Pyithu,ဦးသန်းဝင်း,ညီညွတ်သောဒီမိုကရက်တစ်ပါတီ(UDP),347,2015,38,m,ဂန့်ဂေါ
Magway Region,Gangaw,Gangaw,Pyithu,ဦးအံ့မြိုင်,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,968,2015,100,m,ဂန့်ဂေါ
Magway Region,Gangaw,Gangaw,Pyithu,ဒေါ်ယဉ်မင်းလှိုင်,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,54270,2015,3379,f,ဂန့်ဂေါ
Shan State (North),Muse,Namhkan,Pyithu,ဦးထွန်းကျော်,တအာင်း(ပလောင်)အမျိုးသားပါတီ,18539,2015,1784,m,နမ့်ခမ်း
Shan State (North),Muse,Namhkan,Pyithu,ဒေါ်နန်းမဌေး,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,2320,2015,258,f,နမ့်ခမ်း
Shan State (North),Muse,Namhkan,Pyithu,ဦးမိုင်းထွန်းအောင်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,7528,2015,1076,m,နမ့်ခမ်း
Shan State (North),Muse,Namhkan,Pyithu,ဦးစိုင်းတင်ဦး,ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ,11147,2015,995,m,နမ့်ခမ်း
Shan State (North),Muse,Namhkan,Pyithu,ဒေါ်နန်းမွေနွမ်,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,11196,2015,646,f,နမ့်ခမ်း
Mon State,Thaton,Paung,Pyithu,ဦးခင်မောင်မြင့်,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,2630,2015,216,m,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဒေါ်မိကြည်ကြည်မွန်,မွန်အမျိုးသားပါတီ,6502,2015,426,f,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဒေါ်လဲ့လဲ့မော်,အမျိုးသားတိုးတက်ရေးပါတီ,1261,2015,103,f,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဦးမောင်မောင်,မွန်ဒေသလုံးဆိုင်ရာဒီမိုကရေစီပါတီ,4283,2015,229,m,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဦးတင့်လွင်,၈၈မျိုးဆက်ကျောင်းသားလူငယ်များ(ပြည်ထောင်စုမြန်မာနိုင်ငံ)ပါတီ,2486,2015,111,m,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဦးစောဝင်းကျော်ဦး,ဖလုံ-စဝေါ်ဒီမိုကရက်တစ်ပါတီ,1931,2015,150,m,ပေါင်
Mon State,Thaton,Paung,Pyithu,ဒေါ်မိကွန်ချမ်း,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,30769,2015,2062,f,ပေါင်
